case_id	phase	material	atom_count	cell_role	candidate_id	reference_density_role	is_reference	local_perturbation_reference_required_later	solver_started	scientific_result
S2-G2-20260811-001	architecture_registration	Al	1	primitive_equilibrium	pw_fft_reference	committed_ks_nl_equilibrium_cube	true	false	false	false
S2-G2-20260811-002	architecture_registration	Al	32	two_by_two_by_two_conventional_fcc	pw_fft_reference	periodic_supercell_tiling_invariance_only	true	false	false	false
S2-G2-20260811-003	architecture_registration	Al	108	three_by_three_by_three_conventional_fcc	pw_fft_reference	periodic_supercell_tiling_invariance_only	true	true	false	false
S2-G2-20260811-004	architecture_registration	Al	1	primitive_equilibrium	atomic_fft	committed_ks_nl_equilibrium_cube	false	false	false	false
S2-G2-20260811-005	architecture_registration	Al	32	two_by_two_by_two_conventional_fcc	atomic_fft	periodic_supercell_tiling_invariance_only	false	false	false	false
S2-G2-20260811-006	architecture_registration	Al	108	three_by_three_by_three_conventional_fcc	atomic_fft	periodic_supercell_tiling_invariance_only	false	true	false	false
S2-G2-20260811-007	architecture_registration	Al	1	primitive_equilibrium	atomic_low_g_explicit	committed_ks_nl_equilibrium_cube	false	false	false	false
S2-G2-20260811-008	architecture_registration	Al	32	two_by_two_by_two_conventional_fcc	atomic_low_g_explicit	periodic_supercell_tiling_invariance_only	false	false	false	false
S2-G2-20260811-009	architecture_registration	Al	108	three_by_three_by_three_conventional_fcc	atomic_low_g_explicit	periodic_supercell_tiling_invariance_only	false	true	false	false
S2-G2-20260811-010	architecture_registration	Al	1	primitive_equilibrium	atomic_low_g_complementary	committed_ks_nl_equilibrium_cube	false	false	false	false
S2-G2-20260811-011	architecture_registration	Al	32	two_by_two_by_two_conventional_fcc	atomic_low_g_complementary	periodic_supercell_tiling_invariance_only	false	false	false	false
S2-G2-20260811-012	architecture_registration	Al	108	three_by_three_by_three_conventional_fcc	atomic_low_g_complementary	periodic_supercell_tiling_invariance_only	false	true	false	false
